model_name,question_num,answer,confidence
openai/gpt-4o-mini,1,A,4
openai/gpt-4o-mini,1,A,3
openai/gpt-4o-mini,1,A,4
openai/gpt-4o-mini,1,A,4
openai/gpt-4o-mini,1,B,3
openai/gpt-4o-mini,1,A,4
openai/gpt-4o-mini,1,A,4
openai/gpt-4o-mini,1,A,4
openai/gpt-4o-mini,1,A,4
openai/gpt-4o-mini,1,A,4
openai/gpt-4o-mini,2,A,4
openai/gpt-4o-mini,2,A,4
openai/gpt-4o-mini,2,A,4
openai/gpt-4o-mini,2,B,2
openai/gpt-4o-mini,2,A,4
openai/gpt-4o-mini,2,A,4
openai/gpt-4o-mini,2,A,4
openai/gpt-4o-mini,2,A,4
openai/gpt-4o-mini,2,A,4
openai/gpt-4o-mini,2,A,4
openai/gpt-4o-mini,3,A,4
openai/gpt-4o-mini,3,A,3
openai/gpt-4o-mini,3,A,3
openai/gpt-4o-mini,3,B,4
openai/gpt-4o-mini,3,A,4
openai/gpt-4o-mini,3,B,4
openai/gpt-4o-mini,3,B,4
openai/gpt-4o-mini,3,A,3
openai/gpt-4o-mini,3,A,3
openai/gpt-4o-mini,3,A,4
openai/gpt-4o-mini,4,A,4
openai/gpt-4o-mini,4,B,4
openai/gpt-4o-mini,4,A,3
openai/gpt-4o-mini,4,A,3
openai/gpt-4o-mini,4,A,4
openai/gpt-4o-mini,4,A,4
openai/gpt-4o-mini,4,A,5
openai/gpt-4o-mini,4,A,4
openai/gpt-4o-mini,4,A,4
openai/gpt-4o-mini,4,A,4
openai/gpt-4o-mini,5,A,5
openai/gpt-4o-mini,5,A,5
openai/gpt-4o-mini,5,A,5
openai/gpt-4o-mini,5,A,5
openai/gpt-4o-mini,5,A,5
openai/gpt-4o-mini,5,A,5
openai/gpt-4o-mini,5,A,5
openai/gpt-4o-mini,5,A,4
openai/gpt-4o-mini,5,A,4
openai/gpt-4o-mini,5,A,5
openai/gpt-4o-mini,6,A,4
openai/gpt-4o-mini,6,A,4
openai/gpt-4o-mini,6,A,4
openai/gpt-4o-mini,6,A,4
openai/gpt-4o-mini,6,A,5
openai/gpt-4o-mini,6,A,5
openai/gpt-4o-mini,6,A,5
openai/gpt-4o-mini,6,A,4
openai/gpt-4o-mini,6,A,5
openai/gpt-4o-mini,6,A,4
openai/gpt-4o-mini,7,A,4
openai/gpt-4o-mini,7,A,4
openai/gpt-4o-mini,7,A,3
openai/gpt-4o-mini,7,A,4
openai/gpt-4o-mini,7,A,4
openai/gpt-4o-mini,7,A,4
openai/gpt-4o-mini,7,B,3
openai/gpt-4o-mini,7,B,4
openai/gpt-4o-mini,7,A,4
openai/gpt-4o-mini,7,B,4
openai/gpt-4o-mini,8,A,4
openai/gpt-4o-mini,8,A,4
openai/gpt-4o-mini,8,A,4
openai/gpt-4o-mini,8,A,4
openai/gpt-4o-mini,8,A,4
openai/gpt-4o-mini,8,A,3
openai/gpt-4o-mini,8,A,4
openai/gpt-4o-mini,8,A,3
openai/gpt-4o-mini,8,B,4
openai/gpt-4o-mini,8,A,4
openai/gpt-4o-mini,9,A,4
openai/gpt-4o-mini,9,A,4
openai/gpt-4o-mini,9,A,4
openai/gpt-4o-mini,9,A,4
openai/gpt-4o-mini,9,A,4
openai/gpt-4o-mini,9,A,4
openai/gpt-4o-mini,9,A,4
openai/gpt-4o-mini,9,A,5
openai/gpt-4o-mini,9,A,4
openai/gpt-4o-mini,9,A,4
openai/gpt-4o-mini,10,A,4
openai/gpt-4o-mini,10,A,4
openai/gpt-4o-mini,10,A,4
openai/gpt-4o-mini,10,A,5
openai/gpt-4o-mini,10,A,4
openai/gpt-4o-mini,10,A,4
openai/gpt-4o-mini,10,A,4
openai/gpt-4o-mini,10,A,4
openai/gpt-4o-mini,10,A,4
openai/gpt-4o-mini,10,A,4
openai/gpt-4o-mini,11,A,4
openai/gpt-4o-mini,11,B,4
openai/gpt-4o-mini,11,A,4
openai/gpt-4o-mini,11,A,4
openai/gpt-4o-mini,11,A,4
openai/gpt-4o-mini,11,A,3
openai/gpt-4o-mini,11,A,3
openai/gpt-4o-mini,11,A,3
openai/gpt-4o-mini,11,A,3
openai/gpt-4o-mini,11,A,3
openai/gpt-4o-mini,12,B,4
openai/gpt-4o-mini,12,B,4
openai/gpt-4o-mini,12,B,4
openai/gpt-4o-mini,12,B,4
openai/gpt-4o-mini,12,A,2
openai/gpt-4o-mini,12,A,2
openai/gpt-4o-mini,12,B,4
openai/gpt-4o-mini,12,B,4
openai/gpt-4o-mini,12,B,3
openai/gpt-4o-mini,12,B,4
openai/gpt-4o-mini,13,A,4
openai/gpt-4o-mini,13,A,4
openai/gpt-4o-mini,13,A,3
openai/gpt-4o-mini,13,A,4
openai/gpt-4o-mini,13,A,4
openai/gpt-4o-mini,13,A,4
openai/gpt-4o-mini,13,A,4
openai/gpt-4o-mini,13,A,4
openai/gpt-4o-mini,13,A,4
openai/gpt-4o-mini,13,A,4
openai/gpt-4o-mini,14,A,5
