model_name,question_num,answer,confidence
meta-llama/llama-4-scout:free,1,B,4
meta-llama/llama-4-scout:free,1,B,4
meta-llama/llama-4-scout:free,1,B,4
meta-llama/llama-4-scout:free,1,B,4
meta-llama/llama-4-scout:free,1,A,4
meta-llama/llama-4-scout:free,1,A,4
meta-llama/llama-4-scout:free,1,A,4
meta-llama/llama-4-scout:free,1,B,4
meta-llama/llama-4-scout:free,1,B,4
meta-llama/llama-4-scout:free,1,A,4
meta-llama/llama-4-scout:free,2,B,3
meta-llama/llama-4-scout:free,2,A,4
meta-llama/llama-4-scout:free,2,A,4
meta-llama/llama-4-scout:free,2,B,4
meta-llama/llama-4-scout:free,2,A,3
meta-llama/llama-4-scout:free,2,A,3
meta-llama/llama-4-scout:free,2,B,4
meta-llama/llama-4-scout:free,2,A,2
meta-llama/llama-4-scout:free,2,B,4
meta-llama/llama-4-scout:free,2,A,3
meta-llama/llama-4-scout:free,41,B,4
meta-llama/llama-4-scout:free,41,B,4
meta-llama/llama-4-scout:free,41,A,4
meta-llama/llama-4-scout:free,41,B,4
meta-llama/llama-4-scout:free,41,B,4
meta-llama/llama-4-scout:free,41,B,4
meta-llama/llama-4-scout:free,41,B,4
meta-llama/llama-4-scout:free,41,B,4
meta-llama/llama-4-scout:free,41,B,4
meta-llama/llama-4-scout:free,41,B,4
